zip_code_prefix,city,state,lat,lng
01012,sao paulo,SP,-23.5478,-46.6329
01019,sao paulo,SP,-23.5435,-46.6358
01042,sao paulo,SP,-23.5448,-46.6412
01106,sao paulo,SP,-23.5312,-46.6316
01151,sao paulo,SP,-23.5292,-46.6575
73401,brasilia,DF,-15.7942,-47.8822
73402,brasilia,DF,-15.7942,-47.8822
75257,goiania,GO,-16.6869,-49.2648
75784,goiania,GO,-16.6869,-49.2648
76897,ariquemes,RO,-9.9133,-63.0408
76968,cacoal,RO,-11.4384,-61.4472
77404,gurupi,TO,-11.7268,-49.0665
78554,sinop,MT,-11.8592,-55.5084
83210,paranagua,PR,-25.5204,-48.5222
83843,fazenda rio grande,PR,-25.6601,-49.3059
84623,paulo frontin,PR,-25.9814,-50.8351
85118,guarapuava,PR,-25.3907,-51.4622
85894,santa helena,PR,-24.8582,-54.3312
85958,oliveira castro,PR,-24.1378,-54.1256
86135,londrina,PR,-23.3106,-51.1628
86996,marialva,PR,-23.4842,-51.7917
87323,ivaituba,PR,-24.1614,-52.3922
87511,umuarama,PR,-23.7664,-53.3228
93602,estancia velha,RS,-29.6469,-51.1764
94370,glorinha,RS,-29.8775,-50.7708
95572,mampituba,RS,-29.2131,-49.9333
95853,vale verde,RS,-29.7562,-52.1528
72536,brasilia,DF,-15.7942,-47.8822
72549,brasilia,DF,-15.7942,-47.8822
72583,brasilia,DF,-15.7942,-47.8822
72587,brasilia,DF,-15.7942,-47.8822
72595,brasilia,DF,-15.7942,-47.8822
72596,brasilia,DF,-15.7942,-47.8822
72760,brasilia,DF,-15.7942,-47.8822
72821,luziania,GO,-16.2519,-47.9504
72863,novo gama,GO,-16.0594,-48.0378
72867,novo gama,GO,-16.0594,-48.0378
72904,santo antonio do descoberto,GO,-15.9404,-48.2561
73081,brasilia,DF,-15.7942,-47.8822
73082,brasilia,DF,-15.7942,-47.8822
73088,brasilia,DF,-15.7942,-47.8822
73090,brasilia,DF,-15.7942,-47.8822
73091,brasilia,DF,-15.7942,-47.8822
73093,brasilia,DF,-15.7942,-47.8822
73255,brasilia,DF,-15.7942,-47.8822
73272,brasilia,DF,-15.7942,-47.8822
73310,brasilia,DF,-15.7942,-47.8822
73369,brasilia,DF,-15.7942,-47.8822
73391,brasilia,DF,-15.7942,-47.8822
72002,brasilia,DF,-15.7942,-47.8822
72005,brasilia,DF,-15.7942,-47.8822
72017,brasilia,DF,-15.7942,-47.8822
72023,brasilia,DF,-15.7942,-47.8822
72237,brasilia,DF,-15.7942,-47.8822
72238,brasilia,DF,-15.7942,-47.8822
72242,brasilia,DF,-15.7942,-47.8822
72243,brasilia,DF,-15.7942,-47.8822
72268,brasilia,DF,-15.7942,-47.8822
72280,brasilia,DF,-15.7942,-47.8822
72300,brasilia,DF,-15.7942,-47.8822
72338,brasilia,DF,-15.7942,-47.8822
72341,brasilia,DF,-15.7942,-47.8822
72427,brasilia,DF,-15.7942,-47.8822
72440,brasilia,DF,-15.7942,-47.8822
72455,brasilia,DF,-15.7942,-47.8822
72457,brasilia,DF,-15.7942,-47.8822
72465,brasilia,DF,-15.7942,-47.8822
72535,brasilia,DF,-15.7942,-47.8822
70716,brasilia,DF,-15.7942,-47.8822
71208,brasilia,DF,-15.7942,-47.8822
71261,brasilia,DF,-15.7942,-47.8822
71539,brasilia,DF,-15.7942,-47.8822
71551,brasilia,DF,-15.7942,-47.8822
71574,brasilia,DF,-15.7942,-47.8822
71590,brasilia,DF,-15.7942,-47.8822
71591,brasilia,DF,-15.7942,-47.8822
71593,brasilia,DF,-15.7942,-47.8822
71676,brasilia,DF,-15.7942,-47.8822
71698,brasilia,DF,-15.7942,-47.8822
71810,brasilia,DF,-15.7942,-47.8822
71884,brasilia,DF,-15.7942,-47.8822
71905,brasilia,DF,-15.7942,-47.8822
71919,brasilia,DF,-15.7942,-47.8822
71953,brasilia,DF,-15.7942,-47.8822
71971,brasilia,DF,-15.7942,-47.8822
71975,brasilia,DF,-15.7942,-47.8822
71976,brasilia,DF,-15.7942,-47.8822
71993,brasilia,DF,-15.7942,-47.8822
71995,brasilia,DF,-15.7942,-47.8822
71996,brasilia,DF,-15.7942,-47.8822
72002,brasilia,DF,-15.7942,-47.8822
